COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
329,8660000078,BUMBLE BEE PINK SALM,6.5 OZ,12,502721
329,8660010251,BUMBLE BEE SOLID WHT,3/3 OZ,8,500401
329,8660011451,BUM BEE CHNK LT TUNA,3/3 OZ,8,502721
329,8660012338,BUMBLE BEE PINK SALM,14.7 O,24,502791
329,8660040001,~TUNA MIX-IN GARDEN,.05 OZ,24,412261
329,8660040002,~TUNA MIX-IN CLASSIC,.05 OZ,24,412281
329,8660040003,~TUNA MIX INS LEMON,.05 OZ,24,412301
329,8660040004,~BB TUNA MIX-INS ZES,.05 OZ,24,412321
329,8660070777,BUMBLE BEE TUNA SALA,3.3 OZ,12,502961
329,8660070888,BUMBLE BEE REDUCED F,3.3 OZ,12,502981
329,9852503018,DOXEE CLAM JUICE,8 OZ,12,500190
329,79852503018,DOXEE CLAM JUICE,8 OZ,12,500190
329,79852516099,SNOWS MINCED CLAMS,6.5 OZ,12,500241
329,79852516100,SNOW'S CHOPPED CLAMS,6.5 OZ,12,500221
